trade_date,open,high,low,close,vol,amount,rsi,ema12,ema26,dif,dea,macd_bar,bb_ma,bb_std,bb_upper,bb_lower,bb_bw,bb_pctb,tr,atr
2025-07-04,119.19,120.3,117.51,118.85,141826.95,1683622.173,,,,,,,,,,,,,2.79,
2025-07-07,118.98,120.81,117.86,120.81,114584.95,1370153.527,,,,,,,,,,,,,2.95,
2025-07-08,123.0,123.5,121.01,121.71,151877.86,1854823.191,,,,,,,,,,,,,2.69,
2025-07-09,120.91,120.99,119.29,119.47,126056.42,1512241.902,,,,,,,,,,,,,2.42,
2025-07-10,119.02,119.87,118.04,118.06,111583.31,1322615.181,,,,,,,,,,,,,1.83,
2025-07-11,117.9,119.1,117.37,118.36,129774.02,1537067.954,,,,,,,,,,,,,1.73,
2025-07-14,118.61,119.2,117.46,117.59,112791.53,1331566.268,,,,,,,,,,,,,1.74,
2025-07-15,117.1,117.56,114.0,115.0,236202.59,2718281.579,,,,,,,,,,,,,3.59,
2025-07-16,115.0,116.4,114.0,114.24,158742.83,1826208.291,,,,,,,,,,,,,2.4,
2025-07-17,114.05,118.19,113.82,117.99,241275.42,2805867.152,,,,,,,,,,,,,4.37,
2025-07-18,117.86,120.3,116.23,117.16,203233.08,2391314.587,,,,,,,,,,,,,4.07,
2025-07-21,116.82,117.53,115.4,117.11,115943.94,1350683.002,,118.0292,,,,,,,,,,,2.13,
2025-07-22,116.97,117.33,115.8,115.87,143927.33,1672922.189,,117.697,,,,,,,,,,,1.53,
2025-07-23,115.77,118.36,115.5,116.99,149110.76,1741699.657,,117.5882,,,,,,,,,,,2.86,2.65
2025-07-24,116.6,118.0,115.14,117.89,172253.98,2011696.442,47.4495,117.6346,,,,,,,,,,,2.86,2.678
2025-07-25,117.9,122.0,117.9,121.94,356933.76,4286282.667,52.7021,118.297,,,,,,,,,,,4.11,2.8689
2025-07-28,122.0,122.2,119.71,120.26,191011.97,2302878.681,46.6574,118.599,,,,,,,,,,,2.49,2.8184
2025-07-29,120.0,121.5,119.4,120.28,169940.65,2042850.877,52.0801,118.8576,,,,,,,,,,,2.1,2.7226
2025-07-30,124.06,129.67,123.31,123.99,472987.44,5957278.63,63.6197,119.6472,,,,,,,,,,,9.39,3.6116
