date,open,close,high,low,volume,amount
2025-07-04,43.1,43.95,44.8,41.5,124680391,5392124722.0
2025-07-07,44.3,44.3,45.0,43.7,58889473,2606606893.0
2025-07-08,44.65,45.65,45.9,44.45,68833165,3113078998.0
2025-07-09,45.65,44.65,45.7,44.4,48918407,2196646182.0
2025-07-10,44.75,44.95,45.4,44.5,39808214,1792304264.0
2025-07-11,44.75,45.95,46.85,44.75,83344868,3852759756.0
2025-07-14,46.2,46.45,47.0,45.7,54314874,2528363662.0
2025-07-15,46.4,45.6,47.1,44.9,92558441,4218269477.0
2025-07-16,45.35,45.4,46.45,44.55,58314723,2664586789.0
2025-07-17,45.6,46.3,46.55,45.15,56836441,2623705430.0
2025-07-18,46.7,47.1,47.35,45.95,63008978,2951468492.0
2025-07-21,47.45,47.25,48.0,46.6,57525367,2723930171.0
2025-07-22,47.5,48.55,49.2,47.1,101030803,4899480384.0
2025-07-23,49.25,48.75,49.3,47.9,72702914,3538326636.0
2025-07-24,48.95,50.25,51.6,48.75,139872459,7048749847.0
2025-07-25,50.4,52.75,53.8,50.2,145837338,7590908385.0
2025-07-28,53.55,53.1,53.55,52.0,81890865,4324208964.0
2025-07-29,53.1,53.35,53.45,51.55,67956748,3570411345.0
2025-07-30,52.65,50.2,52.65,50.0,118943656,6064938553.0
2025-07-31,50.0,51.1,52.95,49.1,104907136,5389700442.0
2025-08-01,51.1,50.05,52.3,49.9,65840725,3339652390.0
2025-08-04,49.8,51.5,51.75,49.8,53873828,2762951740.0
2025-08-05,51.6,51.0,52.7,50.5,69595649,3598089024.0
2025-08-06,51.25,52.6,52.95,50.5,72245201,3752208341.0
2025-08-07,52.55,53.0,54.7,51.85,90416223,4817905731.0
2025-08-08,51.0,48.66,51.3,48.5,218640904,10862437945.0
2025-08-11,49.04,48.7,49.24,47.14,109296429,5252424959.0
2025-08-12,48.86,51.15,51.55,48.2,112240544,5643214205.0
2025-08-13,51.25,52.05,52.1,50.95,83959625,4338376317.0
2025-08-14,52.5,52.0,54.4,51.85,115170190,6115399028.0
2025-08-15,51.75,52.75,53.2,51.45,80095392,4198116124.0
2025-08-18,53.5,51.8,53.8,51.75,80816682,4240548938.0
2025-08-19,51.85,50.05,52.15,49.66,77786478,3938378220.0
2025-08-20,49.5,51.75,52.55,49.4,106235006,5415142819.0
2025-08-21,51.85,51.7,53.05,50.9,67561130,3500967477.0
2025-08-22,52.85,56.9,57.5,52.7,296455102,16408960102.0
2025-08-25,58.45,57.8,61.75,56.0,235311070,13797807969.0
2025-08-26,57.0,56.2,57.45,55.4,104068446,5861733754.0
2025-08-27,57.0,56.25,60.3,55.75,221959736,12950278965.0
2025-08-28,57.0,62.3,62.8,56.65,328184511,19836412050.0
2025-08-29,62.25,60.7,62.25,59.9,138500782,8421519659.0
2025-09-01,64.75,63.65,65.65,60.55,188898351,11900231386.0
2025-09-02,63.8,60.7,64.1,58.75,189292322,11551325833.0
2025-09-03,61.85,60.0,62.1,59.35,81425532,4921642177.0
2025-09-04,60.2,56.0,60.8,55.35,187841288,10686938015.0
2025-09-05,56.8,58.7,60.2,56.3,158505131,9247560551.0
2025-09-08,58.7,58.15,58.8,56.65,97043391,5587725876.0
2025-09-09,58.0,58.25,60.65,56.0,120101934,7076891614.0
2025-09-10,58.7,60.35,60.95,58.7,90346929,5418157278.0
2025-09-11,60.1,63.35,64.45,59.4,134823644,8470709376.0
2025-09-12,64.2,62.75,65.0,62.1,103139295,6551506993.0
2025-09-15,63.65,63.0,64.5,62.55,64804768,4105909630.0
2025-09-16,63.1,63.2,64.2,61.95,76132007,4815565275.0
2025-09-17,64.3,67.7,67.8,63.7,169646110,11267083951.0
2025-09-18,68.55,69.5,73.3,67.7,243974812,17235177264.0
2025-09-19,71.1,69.75,72.5,68.65,151250095,10678918079.0
2025-09-22,69.75,73.35,74.05,69.05,136569630,9878453943.0
2025-09-23,74.05,72.6,74.7,70.25,135366490,9766187429.0
2025-09-24,72.8,76.75,78.25,72.15,150321829,11402208955.0
2025-09-25,77.2,76.8,78.8,75.2,114883313,8861911614.0
2025-09-26,75.9,72.95,77.8,72.2,141599380,10641068508.0
2025-09-29,74.0,76.5,76.5,73.1,106533474,7973807065.0
2025-09-30,77.5,79.55,79.95,77.5,115419312,9114340568.0
2025-10-02,80.15,89.65,90.35,80.1,67389636,5840577417.0
2025-10-03,90.35,90.9,91.35,88.65,34462352,3102587937.0
2025-10-06,90.5,91.05,92.8,87.4,43900768,3953173088.0
2025-10-08,91.0,89.5,91.5,87.7,38845844,3468659227.0
2025-10-09,88.4,83.5,93.5,82.5,303809230,26499269878.0
2025-10-10,81.95,77.55,82.65,76.65,203174461,16039839476.0
2025-10-13,75.5,80.15,81.4,75.5,265993481,21053000125.0
2025-10-14,81.8,73.35,81.85,72.1,210423170,15877622091.0
2025-10-15,74.2,76.0,76.15,71.5,135742186,10055792360.0
2025-10-16,76.0,73.9,76.2,72.6,89385266,6646206862.0
2025-10-17,73.65,69.1,74.1,68.35,166659866,11670648306.0
2025-10-20,71.6,71.8,72.75,70.2,85998261,6154771202.0
2025-10-21,73.3,74.05,76.4,72.85,121886166,9150416914.0
2025-10-22,73.85,74.85,75.9,72.5,82298535,6133300353.0
2025-10-23,74.5,74.05,75.0,71.85,91305190,6709750973.0
2025-10-24,75.7,80.0,80.05,75.7,154628465,12097320317.0
2025-10-27,82.95,82.8,83.8,80.8,143794946,11878770764.0
2025-10-28,82.8,80.1,85.5,80.05,124471245,10274836310.0
2025-10-30,81.95,79.2,82.4,77.3,141883664,11245295756.0
2025-10-31,79.2,75.0,79.2,74.6,108145564,8204539498.0
2025-11-03,74.2,72.85,75.2,71.3,95882523,6944375404.0
2025-11-04,73.6,71.85,75.45,71.65,74920975,5499102985.0
2025-11-05,70.0,71.7,72.35,69.35,76003489,5361959810.0
2025-11-06,73.55,76.95,77.75,72.85,118576840,8930186892.0
2025-11-07,75.75,75.45,77.95,74.7,58051968,4413125308.0
2025-11-10,76.0,74.7,76.7,72.5,74373722,5495250755.0
2025-11-11,75.45,72.65,75.6,71.55,70851474,5177861386.0
2025-11-12,72.5,73.25,73.55,70.7,66485006,4797348967.0
2025-11-13,72.85,75.6,75.6,71.7,88521178,6548446640.0
2025-11-14,74.25,73.5,77.25,73.2,93053916,6999751274.0
2025-11-17,73.8,72.95,75.65,72.8,60837818,4507146855.0
2025-11-18,72.65,74.0,75.65,72.2,69119836,5140533578.0
2025-11-19,74.6,73.0,74.75,72.05,49252284,3600236181.0
2025-11-20,74.6,73.5,75.25,72.3,59009341,4345727602.0
2025-11-21,71.1,68.8,71.95,68.6,107859632,7538430313.0
2025-11-24,69.05,68.05,69.55,63.7,146771590,9721540241.0
2025-11-25,68.9,67.95,70.25,66.9,77251132,5306909261.0
2025-11-26,67.8,68.85,69.95,66.9,48414677,3324895741.0
2025-11-27,69.15,68.35,71.8,68.15,67041842,4692901086.0
2025-11-28,69.6,68.8,69.6,67.9,34635482,2380158686.0
2025-12-01,68.9,69.45,69.95,67.85,36618423,2532143772.0
2025-12-02,69.35,68.65,69.65,68.05,23942332,1643697393.0
2025-12-03,68.15,67.2,69.25,66.85,35626389,2414488068.0
2025-12-04,67.3,69.8,70.25,66.55,50376074,3464806371.0
2025-12-05,69.75,69.75,70.9,68.55,45551129,3185007812.0
2025-12-08,70.2,71.8,72.9,70.15,69233641,4987910867.0
2025-12-09,70.6,68.85,71.0,68.45,66229434,4607931833.0
2025-12-10,69.3,68.7,69.35,67.2,44357583,3008830804.0
2025-12-11,69.0,67.15,69.25,66.55,49462751,3336579001.0
2025-12-12,67.6,67.7,68.65,65.35,59855565,4013006713.0
2025-12-15,68.0,64.7,68.0,64.45,67089126,4402278480.0
2025-12-16,64.5,63.45,65.15,62.0,64784997,4081880316.0
2025-12-17,63.05,64.75,65.2,63.05,40298935,2593098164.0
2025-12-18,64.0,64.7,65.6,63.65,39415584,2550990720.0
2025-12-19,65.45,65.05,66.15,64.8,39163474,2561376268.0
2025-12-22,66.0,68.9,70.45,65.95,91315684,6275741564.0
2025-12-23,69.5,68.9,70.35,68.3,49966498,3462248497.0
2025-12-24,70.35,71.05,72.5,70.35,69359801,4956364778.0
2025-12-29,71.5,69.55,73.7,69.55,77352135,5539644531.0
2025-12-30,71.5,72.5,73.15,70.45,93554254,6743620823.0
2025-12-31,72.9,71.45,73.45,71.2,33185970,2398272191.0
2026-01-02,71.45,75.1,75.4,70.8,40669802,3029361268.0
2026-01-05,75.8,76.5,78.3,75.05,129977658,9955751452.0
2026-01-06,77.0,75.6,78.9,75.4,100574288,7747964894.0
2026-01-07,76.4,74.7,76.7,73.7,98807996,7393201282.0
2026-01-08,74.6,74.95,77.45,74.1,92810803,7054325352.0
2026-01-09,75.5,74.4,76.25,73.5,71074224,5292258826.0
2026-01-12,74.5,75.3,75.5,73.35,64618788,4811958827.0
2026-01-13,75.2,74.45,76.15,73.25,69713451,5190603701.0
2026-01-14,74.6,75.95,76.45,74.15,80458547,6069374666.0
2026-01-15,75.5,77.35,78.4,74.95,72736228,5574170845.0
2026-01-16,78.8,79.2,79.7,77.6,88248919,6964284811.0
2026-01-19,79.2,77.0,80.1,77.0,52927092,4128915754.0
2026-01-20,77.4,74.5,77.6,73.75,65838024,4930807502.0
2026-01-21,73.45,77.25,77.75,73.35,75590192,5792655804.0
2026-01-22,78.5,77.85,79.45,76.4,50921076,3962351190.0
2026-01-23,78.5,78.1,78.55,76.85,36489263,2829325430.0
2026-01-26,77.4,75.55,77.45,74.7,53747542,4061396346.0
2026-01-27,75.5,76.6,77.15,73.95,60791315,4602074537.0
2026-01-28,77.2,79.3,79.9,77.15,98301722,7740920348.0
2026-01-29,79.7,77.25,79.8,75.85,74734384,5781591339.0
2026-01-30,76.0,75.4,77.0,74.5,52788932,4001555554.0
2026-02-02,75.0,72.2,75.0,70.85,97837858,7082961928.0
