date,open,close,high,low,volume,amount
2025-07-04,86.0,85.8,87.2,84.86,252257,2166412311.0
2025-07-07,85.69,85.48,86.86,85.37,135349,1162397568.0
2025-07-08,85.49,86.74,86.85,85.18,217668,1876172230.0
2025-07-09,86.65,85.85,86.86,85.52,183102,1578143686.0
2025-07-10,85.61,85.67,86.17,85.5,175639,1506706468.0
2025-07-11,85.7,88.16,89.34,85.4,469922,4128335550.0
2025-07-14,88.3,87.52,88.49,87.47,189831,1667925619.0
2025-07-15,87.15,87.89,87.95,86.61,206173,1800356659.0
2025-07-16,87.73,87.12,88.2,86.77,196708,1720548788.0
2025-07-17,87.06,88.79,89.0,86.32,287922,2535637954.0
2025-07-18,88.75,88.51,89.13,87.93,219959,1948101635.0
2025-07-21,88.45,89.02,89.52,88.04,222719,1983498560.0
2025-07-22,88.7,89.08,90.55,88.5,297420,2662984479.0
2025-07-23,88.9,89.39,90.19,88.3,316549,2831683379.0
2025-07-24,89.1,91.75,92.9,89.0,522324,4779308503.0
2025-07-25,91.74,93.47,93.68,90.99,442124,4076414682.0
2025-07-28,93.64,92.18,93.69,91.96,342640,3167887757.0
2025-07-29,92.0,92.17,92.63,90.81,294142,2699803673.0
2025-07-30,91.7,90.36,91.83,89.74,310018,2815721986.0
2025-07-31,90.32,89.5,92.75,89.46,461988,4187082774.0
2025-08-01,89.2,88.29,90.33,88.02,274140,2439842712.0
2025-08-04,87.95,90.07,90.63,87.88,286057,2568808038.0
2025-08-05,89.85,90.0,90.58,89.58,195679,1761818589.0
2025-08-06,89.86,90.78,91.0,89.53,267797,2418543090.0
2025-08-07,90.7,90.59,91.7,89.75,315259,2859638850.0
2025-08-08,88.0,86.66,88.5,86.66,584730,5098977106.0
2025-08-11,86.69,86.96,87.18,86.22,279193,2423559078.0
2025-08-12,86.95,88.52,90.1,86.42,551552,4870773398.0
2025-08-13,88.01,88.66,89.23,88.0,384304,3405728487.0
2025-08-14,88.69,89.46,92.58,88.69,741492,6741604128.0
2025-08-15,89.0,91.84,93.3,88.48,690499,6288369530.0
2025-08-18,93.5,92.31,95.17,91.36,833423,7749849746.0
2025-08-19,91.67,89.35,92.48,89.35,744652,6762914098.0
2025-08-20,89.4,92.28,92.49,88.19,858745,7756060795.0
