date,open,close,high,low,volume,amount
2025-07-04,121.72,120.92,122.71,120.23,20263203,2466347469.0
2025-07-07,119.63,120.92,122.61,119.63,17193365,2086016367.0
2025-07-08,120.92,122.12,123.41,120.23,13838177,1692767997.0
2025-07-09,121.22,120.72,121.92,119.83,15436702,1871391657.0
2025-07-10,120.72,118.93,120.72,116.25,35910836,4256828038.0
2025-07-11,118.24,119.53,121.42,117.54,19783006,2383859428.0
2025-07-14,119.53,119.83,120.43,118.53,14230919,1708380073.0
2025-07-15,120.13,122.81,123.01,119.53,26090205,3186559548.0
2025-07-16,123.41,121.92,124.41,121.72,19614661,2428263566.0
2025-07-17,122.42,123.21,124.21,122.02,19477455,2414238307.0
2025-07-18,124.8,125.8,125.8,123.41,21635637,2715785281.0
2025-07-21,126.4,127.09,127.59,125.3,17920034,2276067079.0
2025-07-22,128.39,133.56,134.16,127.59,36660871,4828333447.0
2025-07-23,134.16,132.77,134.16,130.88,26556397,3533376027.0
2025-07-24,132.47,131.47,135.65,130.88,27635344,3701647790.0
2025-07-25,131.37,128.98,131.37,127.09,26270427,3394387056.0
2025-07-28,128.98,127.49,128.98,127.09,15043124,1931373231.0
2025-07-29,126.7,127.69,127.69,124.9,21397126,2718009905.0
2025-07-30,121.42,120.33,123.81,119.93,76017822,9307569809.0
2025-07-31,118.43,114.85,118.63,114.85,62122627,7244337216.0
2025-08-01,113.56,115.65,117.04,113.56,39028300,4516801914.0
2025-08-04,112.26,113.96,114.65,110.77,42566291,4839749801.0
2025-08-05,110.47,111.57,113.26,110.47,68009886,7630759509.0
2025-08-06,110.47,111.07,111.37,109.58,41494511,4604922931.0
2025-08-07,109.97,112.26,113.36,109.97,34817751,3921004897.0
2025-08-08,111.37,110.67,112.86,110.37,25663397,2870423191.0
2025-08-11,110.67,110.97,112.16,108.78,28977721,3228268396.0
2025-08-12,110.37,110.77,111.77,110.27,22566164,2516820432.0
2025-08-13,112.16,114.45,115.05,111.27,40414547,4608373112.0
2025-08-14,115.45,113.26,115.65,112.46,34253977,3904177637.0
2025-08-15,111.27,112.26,112.46,110.37,26179726,2937036107.0
2025-08-18,111.97,113.16,116.54,111.97,28016012,3210863568.0
2025-08-19,113.66,113.46,114.75,112.26,19568488,2229890114.0
2025-08-20,112.46,112.86,113.26,111.37,19957481,2253139919.0
2025-08-21,112.46,110.87,112.76,110.37,28209945,3157728340.0
2025-08-22,110.87,113.76,113.86,110.57,30653476,3472988399.0
2025-08-25,114.25,115.25,116.34,113.86,32985960,3823302560.0
2025-08-26,115.35,117.04,120.23,114.75,39952279,4737919217.0
2025-08-27,118.43,114.55,118.73,114.25,30644699,3580658050.0
2025-08-28,113.06,111.47,113.46,110.47,48235207,5413426642.0
2025-08-29,110.87,113.86,117.04,110.67,46979584,5381148292.0
2025-09-01,104.7,107.89,108.68,104.7,112757617,12118223479.0
2025-09-02,107.49,110.27,111.67,107.19,56243604,6213173887.0
