date,open,close,high,low,volume,amount
2025-07-04,109.54,109.03,110.35,108.63,104103,3454495463.0
2025-07-07,108.44,108.24,108.86,108.19,88207,2901015557.0
2025-07-08,107.71,107.68,108.63,107.29,116918,3825413668.0
2025-07-09,107.68,107.32,108.11,107.31,121633,3969384130.0
2025-07-10,107.32,105.81,107.41,105.03,210022,6741345468.0
2025-07-11,105.38,106.7,107.67,105.09,168269,5456832018.0
2025-07-14,106.7,104.91,106.7,104.61,172309,5502331854.0
2025-07-15,104.82,106.41,107.06,104.75,162790,5252631322.0
2025-07-16,106.42,106.63,107.36,106.42,110758,3594544238.0
2025-07-17,107.06,108.05,108.28,106.76,156891,5138610961.0
2025-07-18,108.42,108.41,108.54,107.14,136866,4482466755.0
2025-07-21,108.04,110.06,110.06,107.8,153945,5102459146.0
2025-07-22,110.35,112.55,112.66,109.76,214164,7227731007.0
2025-07-23,112.69,111.36,112.99,111.01,158907,5395840274.0
2025-07-24,111.36,112.89,114.15,111.22,189063,6489370096.0
2025-07-25,112.33,111.32,112.46,110.35,157040,5307866611.0
2025-07-28,111.32,111.01,111.7,110.52,117056,3947000994.0
2025-07-29,112.01,111.42,112.5,109.77,387359,4322742015.0
2025-07-30,108.05,108.7,111.16,107.12,524834,5743878668.0
2025-07-31,108.2,105.24,108.2,105.0,599499,6344900791.0
2025-08-01,104.95,105.8,106.24,104.36,362336,3816659558.0
2025-08-04,104.0,104.88,105.14,102.57,412936,4293903590.0
2025-08-05,104.88,104.86,105.21,103.78,338349,3539636640.0
2025-08-06,104.86,104.35,105.0,103.9,305619,3184784993.0
2025-08-07,104.27,105.33,106.43,104.16,428762,4526612773.0
2025-08-08,105.0,103.93,105.03,103.91,326614,3405317252.0
2025-08-11,103.88,105.52,105.66,103.23,356697,3741329572.0
2025-08-12,105.4,105.67,106.43,104.7,312195,3302639096.0
2025-08-13,106.29,106.83,107.65,105.84,459830,4908744877.0
2025-08-14,107.37,106.37,107.5,105.79,419547,4478119017.0
2025-08-15,105.85,106.07,106.64,105.32,361353,3831047052.0
2025-08-18,105.66,108.37,109.49,105.66,619251,6680761816.0
2025-08-19,108.67,107.63,108.92,107.18,389735,4205349329.0
2025-08-20,107.18,108.25,108.26,106.01,385053,4130459252.0
2025-08-21,107.8,107.1,108.83,107.0,449463,4843670255.0
2025-08-22,107.11,110.66,110.97,107.11,763120,8351469726.0
2025-08-25,111.31,111.61,112.49,110.31,611627,6803182883.0
2025-08-26,111.75,113.75,114.69,110.71,692915,7850511029.0
2025-08-27,113.96,110.68,114.06,110.66,689746,7761766931.0
2025-08-28,109.39,109.32,110.19,107.11,762521,8278465956.0
2025-08-29,108.88,114.06,116.59,108.12,1144901,12973326091.0
2025-09-01,108.5,109.7,111.48,108.5,1329867,14546890247.0
2025-09-02,108.79,110.02,111.1,108.6,773224,8495472755.0
2025-09-03,110.5,107.21,110.73,107.01,735223,7975948716.0
2025-09-04,106.59,104.0,107.09,103.71,815740,8588835881.0
2025-09-05,103.86,107.26,107.5,103.11,787523,8307907948.0
2025-09-08,106.15,106.25,107.13,105.51,555923,5910440232.0
2025-09-09,106.0,105.49,107.2,105.27,381636,4049249507.0
2025-09-10,105.52,105.2,106.45,105.02,322368,3401353898.0
2025-09-11,105.25,106.59,106.6,104.89,537781,5683446689.0
2025-09-12,106.6,105.91,107.58,105.9,455910,4859782579.0
2025-09-15,106.0,108.7,110.85,106.0,974804,10620465041.0
2025-09-16,109.0,107.8,109.0,107.22,533160,5753437964.0
2025-09-17,108.2,110.99,112.0,108.2,981239,10827682692.0
2025-09-18,110.99,109.71,112.8,108.56,934013,10362193293.0
2025-09-19,109.8,109.09,110.8,109.0,472977,5188176204.0
2025-09-22,108.87,107.99,108.91,107.15,491559,5293961578.0
2025-09-23,107.45,105.6,107.69,104.64,650962,6888232046.0
2025-09-24,105.0,105.71,105.83,104.0,548162,5758922305.0
2025-09-25,105.34,107.5,108.8,104.87,693482,7421942405.0
2025-09-26,107.45,107.29,111.23,107.0,756612,8250492997.0
2025-09-29,107.0,108.61,109.14,106.39,613983,6621874267.0
2025-09-30,108.19,109.21,109.98,107.76,567755,6200518750.0
2025-10-09,108.67,110.6,112.48,108.07,1008721,11196004667.0
2025-10-10,110.55,107.79,110.55,107.58,590102,6420415513.0
2025-10-13,105.0,105.69,105.98,104.1,744429,7841774365.0
2025-10-14,106.68,105.99,109.36,105.62,767786,8244228529.0
2025-10-15,106.45,107.1,107.51,105.5,475791,5063179652.0
2025-10-16,107.0,106.96,109.3,106.51,523096,5628738804.0
2025-10-17,106.6,104.43,106.63,104.26,625724,6576614911.0
2025-10-20,105.22,104.52,105.63,104.08,355614,3721699722.0
2025-10-21,104.69,104.76,105.07,104.24,299074,3133789475.0
2025-10-22,104.1,103.78,104.32,103.37,357874,3715302136.0
2025-10-23,103.3,103.69,103.73,102.0,378603,3889661811.0
2025-10-24,103.98,103.76,104.37,103.61,305542,3173964302.0
2025-10-27,104.0,104.01,104.97,103.88,345987,3607756848.0
2025-10-28,104.02,103.72,104.32,103.5,265415,2755526047.0
2025-10-29,103.73,104.52,105.18,103.0,397340,4128608369.0
2025-10-30,104.0,103.61,104.86,103.5,358989,3733925603.0
2025-10-31,101.0,100.79,101.32,100.0,637052,6418551106.0
2025-11-03,100.79,99.6,100.99,98.5,551670,5472679665.0
2025-11-04,99.0,97.8,99.54,97.71,435017,4274197474.0
2025-11-05,96.66,95.8,96.66,94.73,587215,5617215879.0
2025-11-06,95.58,97.52,97.75,95.4,402003,3897723836.0
2025-11-07,97.0,97.2,98.15,96.83,322560,3145817991.0
2025-11-10,97.35,99.39,100.35,97.35,554876,5513238813.0
2025-11-11,99.5,98.71,99.78,98.14,319857,3161124110.0
2025-11-12,98.8,97.77,98.99,97.54,260643,2555847684.0
