date,open,close,high,low,volume,amount
2025-07-04,29.1,29.19,29.32,29.05,679228,2048728031.0
2025-07-07,29.27,29.29,29.31,29.11,508278,1534745747.0
2025-07-08,29.3,28.96,29.3,28.95,1073286,3219638664.0
2025-07-09,28.99,29.02,29.14,28.89,670383,2011578386.0
2025-07-10,29.04,28.94,29.12,28.85,947643,2835522287.0
2025-07-11,28.96,29.43,29.61,28.91,1642154,4984368453.0
2025-07-14,29.45,29.63,29.8,29.43,771547,2363137312.0
2025-07-15,29.63,29.5,29.7,29.38,562461,1714077283.0
2025-07-16,29.62,29.37,29.68,29.36,386213,1174692478.0
2025-07-17,29.35,29.19,29.43,29.15,614655,1855170425.0
2025-07-18,29.31,29.27,29.37,29.12,601701,1774601208.0
2025-07-21,29.46,29.28,29.62,29.19,778276,2301161415.0
2025-07-22,29.23,29.13,29.28,29.05,943940,2772595624.0
2025-07-23,29.18,28.95,29.22,28.94,1073549,3142732507.0
2025-07-24,28.96,28.71,28.96,28.57,1668827,4823718576.0
2025-07-25,28.63,28.52,28.75,28.52,1008790,2910198554.0
2025-07-28,28.52,28.41,28.61,28.37,844450,2421911286.0
2025-07-29,28.38,28.4,28.51,28.37,717720,2057394625.0
2025-07-30,28.41,28.47,28.71,28.41,978280,2814742121.0
2025-07-31,28.19,27.62,28.19,27.48,2579698,7209401327.0
2025-08-01,27.57,27.77,27.83,27.46,981486,2738151406.0
2025-08-04,27.68,27.92,27.95,27.58,823203,2311780582.0
2025-08-05,27.92,27.88,27.96,27.74,787152,2209870180.0
2025-08-06,27.87,27.75,27.9,27.65,1144934,3198859437.0
2025-08-07,27.72,27.84,27.96,27.62,1051956,2948188366.0
2025-08-08,27.84,27.64,27.86,27.64,824972,2304820604.0
2025-08-11,27.64,27.47,27.66,27.29,1243550,3436843944.0
2025-08-12,27.47,27.54,27.66,27.42,743183,2065281068.0
2025-08-13,27.55,27.41,27.63,27.39,934256,2589154700.0
2025-08-14,27.4,27.44,27.67,27.38,1017587,2824224358.0
2025-08-15,27.49,27.41,27.56,27.38,1072302,2967736757.0
2025-08-18,27.42,27.42,27.5,27.33,1147361,3169229161.0
2025-08-19,27.43,27.41,27.56,27.39,1146023,3172704270.0
2025-08-20,27.38,27.47,27.52,27.24,1022259,2820524963.0
2025-08-21,27.47,27.63,27.73,27.44,1179347,3284359052.0
2025-08-22,27.66,27.65,27.7,27.48,1032104,2866065221.0
2025-08-25,27.82,28.13,28.32,27.81,2185666,6194362996.0
2025-08-26,28.13,28.09,28.17,27.99,1130612,3198022514.0
2025-08-27,28.03,27.74,28.08,27.71,1275324,3586735277.0
2025-08-28,27.73,27.65,27.77,27.47,1092962,3043101973.0
2025-08-29,27.68,27.87,27.94,27.63,1067298,2996376746.0
2025-09-01,27.88,27.57,27.88,27.49,1246086,3468108875.0
2025-09-02,27.48,27.99,28.07,27.48,1751446,4918052711.0
2025-09-03,28.03,27.74,28.17,27.61,1271331,3563092890.0
2025-09-04,27.72,28.01,28.08,27.49,1758480,4929530683.0
2025-09-05,27.94,27.85,28.09,27.78,1069513,3006365138.0
2025-09-08,27.8,27.93,28.0,27.78,900740,2532976861.0
2025-09-09,27.94,27.79,27.98,27.74,761316,2134208194.0
2025-09-10,27.79,27.79,27.87,27.68,598614,1675916918.0
2025-09-11,27.78,27.78,27.89,27.7,1053966,2946879049.0
2025-09-12,27.78,27.71,27.93,27.68,929728,2603224928.0
2025-09-15,27.68,27.58,27.69,27.54,725656,2016875299.0
2025-09-16,27.57,27.51,27.58,27.43,575128,1594342991.0
2025-09-17,27.5,27.48,27.61,27.45,614926,1704493488.0
2025-09-18,27.47,27.09,27.48,26.99,1448432,3975030224.0
2025-09-19,27.1,26.98,27.13,26.9,734670,1999478366.0
2025-09-22,26.89,26.9,27.03,26.81,696830,1890783496.0
2025-09-23,26.9,27.1,27.17,26.82,872473,2375221478.0
2025-09-24,27.06,27.03,27.31,27.02,874412,2391918904.0
2025-09-25,26.99,27.07,27.11,26.87,634292,1726865388.0
2025-09-26,27.08,27.25,27.33,27.02,794087,2177282260.0
2025-09-29,27.21,27.08,27.28,26.97,927031,2532328827.0
2025-09-30,27.13,27.03,27.14,26.99,618827,1686097117.0
2025-10-09,26.99,27.46,27.48,26.93,1132499,3112861218.0
2025-10-10,27.43,27.51,27.57,27.29,712605,1973210960.0
2025-10-13,27.48,27.57,27.68,27.18,1174982,3255599090.0
2025-10-14,27.52,27.77,27.79,27.33,1366699,3807496908.0
2025-10-15,27.76,27.71,27.93,27.55,926323,2588206846.0
2025-10-16,27.63,27.94,27.95,27.62,939734,2639404753.0
2025-10-17,27.91,27.89,28.15,27.84,1147021,3235603482.0
2025-10-20,27.9,27.83,27.93,27.53,914230,2555513223.0
2025-10-21,27.78,27.69,27.88,27.63,801635,2239195693.0
2025-10-22,27.67,27.82,27.86,27.63,619189,1734320789.0
2025-10-23,27.82,28.01,28.05,27.82,785588,2215031621.0
2025-10-24,27.99,27.97,28.07,27.86,770600,2172735273.0
2025-10-27,27.92,28.08,28.33,27.8,1248426,3534388258.0
2025-10-28,28.04,28.23,28.31,28.04,732635,2082899503.0
2025-10-29,28.23,28.07,28.23,28.04,740543,2097455018.0
2025-10-30,28.07,28.24,28.33,27.97,867173,2465019759.0
2025-10-31,28.23,27.88,28.23,27.71,1184702,3332582343.0
2025-11-03,27.89,28.09,28.13,27.89,613783,1735602286.0
2025-11-04,28.09,28.37,28.46,28.06,1049428,2995456129.0
2025-11-05,28.4,28.19,28.46,28.17,685791,1954741549.0
2025-11-06,28.16,28.27,28.37,28.14,673928,1920939279.0
2025-11-07,28.28,28.29,28.41,28.2,551417,1572837493.0
2025-11-10,28.29,28.3,28.36,28.16,493344,1406140642.0
2025-11-11,28.3,28.39,28.49,28.24,625175,1788389426.0
2025-11-12,28.47,28.38,28.65,28.38,629704,1810844126.0
